timestamp,cat,activity,location
2021-01-15 07:03:18.000229,ozzy,snoozed,bathtub
2020-06-14 02:12:23.221390,otto,hissed,couch
2020-01-11 11:22:25.844611,otto,chomped,seh
2022-07-30 01:18:24.116422,ozzy,scratched,bed
2020-12-20 15:38:08.524144,ozzy,committed_crimes,tastykabob
2021-12-24 01:44:10.630206,otto,purred,bed
2021-08-15 05:46:59.434670,otto,committed_crimes,shelf
2020-03-30 09:56:14.507441,ozzy,snoozed,seh
2019-03-19 18:06:04.108300,ozzy,hissed,windowsill
2021-03-12 16:15:18.230420,otto,purred,shelf
2023-05-17 18:18:06.191103,ozzy,hissed,windowsill
2020-05-30 23:21:59.132779,otto,jumped,bed
2022-04-22 09:14:56.455633,ozzy,scratched,bell_hall
2023-02-13 05:07:01.734382,ozzy,scratched,shelf
2022-07-09 16:11:45.917322,ozzy,chomped,national_mall
2020-11-19 09:07:45.653902,otto,chomped,kitchen
2020-10-19 03:38:45.280311,otto,nibbled,windowsill
2020-01-29 03:53:29.868775,otto,chomped,windowsill
2021-08-15 06:32:38.501591,ozzy,chomped,national_mall
2019-11-04 21:48:24.521800,otto,pondered,bell_hall
2022-10-13 04:53:46.098201,otto,meowed,windowsill
2022-05-15 17:25:35.461526,otto,meowed,bathtub
2022-01-19 20:21:50.219804,otto,nibbled,national_mall
2019-11-30 03:46:05.566191,ozzy,meowed,tastykabob
2022-12-24 17:47:44.775091,ozzy,committed_crimes,couch
2022-10-25 05:00:25.567746,otto,nibbled,kitchen
2020-10-14 20:46:27.805934,otto,scratched,bell_hall
2021-06-30 17:54:11.396698,ozzy,snoozed,windowsill
2020-10-03 20:22:55.299960,otto,jumped,shelf
2020-03-25 07:39:09.852740,ozzy,committed_crimes,bathtub
2022-08-29 10:59:48.486476,otto,committed_crimes,bathtub
2021-06-19 04:30:08.043470,ozzy,jumped,national_mall
2019-07-18 02:34:06.781389,ozzy,hissed,couch
2023-01-30 13:37:21.480644,otto,nibbled,white_house
2021-10-21 01:33:56.518499,otto,scratched,windowsill
2020-12-27 20:15:56.771944,ozzy,pondered,bed
2022-09-29 06:26:38.204950,otto,purred,shelf
2022-12-01 22:10:21.574165,otto,scratched,national_mall
2020-02-20 04:48:15.618831,otto,committed_crimes,windowsill
2022-11-26 23:39:04.072986,ozzy,chomped,couch
2020-01-15 00:27:36.753278,ozzy,snoozed,national_mall
2023-01-05 03:01:17.290152,otto,hissed,kitchen
2020-02-26 11:28:57.432309,ozzy,committed_crimes,kitchen
2022-01-20 20:39:11.247447,otto,scratched,windowsill
2022-12-09 16:23:15.162784,otto,snoozed,windowsill
2022-07-15 02:27:17.436157,otto,pondered,bathtub
2021-05-12 15:55:45.256272,otto,hissed,bed
2021-03-03 02:31:16.259063,ozzy,scratched,bed
2019-04-14 02:50:56.769122,otto,nibbled,windowsill
2020-07-27 21:50:35.513697,ozzy,hissed,tastykabob
2020-02-22 11:26:45.033692,ozzy,chomped,tastykabob
2023-05-10 06:32:50.026781,otto,scratched,couch
2019-09-04 13:38:19.185514,otto,hissed,shelf
2022-07-25 18:19:01.660239,ozzy,jumped,kitchen
2022-01-12 10:20:32.769215,otto,pondered,national_mall
2019-04-21 17:26:50.358836,otto,purred,white_house
2020-07-05 01:53:07.801597,otto,nibbled,national_mall
2019-03-13 05:48:15.573631,otto,jumped,couch
2019-05-28 15:24:42.836021,ozzy,scratched,tastykabob
2023-04-14 06:21:03.726605,otto,snoozed,white_house
2023-02-05 08:13:28.171852,ozzy,committed_crimes,white_house
2022-10-27 11:50:07.135801,otto,hissed,seh
2021-02-16 01:49:26.029619,otto,meowed,shelf
2020-05-14 11:33:43.749787,otto,scratched,couch
2022-04-14 15:07:09.081092,otto,chomped,bed
2022-02-25 04:50:54.786492,ozzy,committed_crimes,national_mall
2020-03-23 19:03:24.910469,ozzy,purred,shelf
2020-10-21 19:31:31.465144,ozzy,scratched,couch
2021-05-13 20:24:29.560609,ozzy,snoozed,shelf
2020-04-26 17:26:12.978740,ozzy,purred,bell_hall
2020-11-11 04:13:37.843522,otto,pondered,tastykabob
2019-10-04 05:16:46.778359,ozzy,committed_crimes,bed
2019-08-06 22:13:59.978840,ozzy,purred,windowsill
2022-08-01 15:50:10.649776,ozzy,pondered,kitchen
2020-08-04 09:47:53.644869,ozzy,chomped,bell_hall
2019-12-10 14:27:13.856085,otto,purred,shelf
2023-03-22 05:06:33.275218,otto,chomped,bell_hall
2021-01-29 08:43:47.276202,otto,jumped,bed
2020-12-08 02:47:46.450972,ozzy,scratched,seh
2021-10-25 03:30:15.864617,ozzy,pondered,windowsill
2022-06-01 16:52:41.864911,otto,chomped,couch
2023-05-13 13:29:52.323887,otto,nibbled,seh
2021-10-01 13:05:12.952557,ozzy,jumped,national_mall
2020-10-09 07:41:08.700294,otto,hissed,windowsill
2023-02-14 06:53:33.340591,ozzy,chomped,kitchen
2020-03-09 19:57:06.768818,otto,nibbled,shelf
2021-08-13 08:12:04.255860,otto,committed_crimes,white_house
2021-04-06 09:44:20.450747,ozzy,purred,kitchen
2021-02-16 10:09:55.876193,otto,hissed,couch
2021-12-10 05:49:34.104536,ozzy,meowed,bed
2021-04-03 14:07:40.069724,ozzy,committed_crimes,bell_hall
2022-12-15 08:56:57.315022,ozzy,jumped,national_mall
2021-04-19 10:22:23.305284,ozzy,pondered,shelf
2019-05-14 21:42:58.935939,ozzy,chomped,seh
2023-02-21 16:33:20.981790,ozzy,pondered,bell_hall
2020-08-15 02:16:58.661076,ozzy,committed_crimes,white_house
2019-09-09 19:51:16.907062,ozzy,meowed,bed
2019-12-19 03:40:20.782849,otto,jumped,seh
2022-11-19 13:08:00.640568,ozzy,meowed,bell_hall
2019-12-24 20:24:01.900850,ozzy,purred,bed
2021-05-12 05:12:07.157179,otto,snoozed,tastykabob
2021-09-13 08:37:04.943087,otto,committed_crimes,bed
2022-07-09 20:51:50.698907,otto,jumped,shelf
2021-02-13 19:00:34.022051,ozzy,committed_crimes,bathtub
2022-10-13 21:17:16.997210,otto,snoozed,windowsill
2021-06-02 17:01:28.692378,ozzy,chomped,couch
2019-12-16 22:09:07.318753,otto,committed_crimes,seh
2022-10-04 04:17:08.986394,otto,jumped,windowsill
2023-05-04 22:33:58.504661,ozzy,scratched,bed
2022-01-29 18:36:26.283304,otto,meowed,seh
2021-11-17 02:24:18.980306,otto,nibbled,bathtub
2021-02-28 04:56:22.068427,otto,purred,tastykabob
2021-08-02 05:54:44.931182,ozzy,meowed,seh
2020-11-09 16:11:12.656890,ozzy,meowed,seh
2021-08-31 00:47:54.166176,otto,hissed,shelf
2022-02-25 04:45:53.194470,otto,pondered,seh
2019-07-23 19:33:28.845180,ozzy,committed_crimes,national_mall
2021-01-12 07:49:45.829877,ozzy,meowed,windowsill
2020-12-25 14:47:46.990994,ozzy,pondered,bed
2019-07-18 21:53:20.134634,otto,meowed,kitchen
2023-01-11 01:57:08.544360,ozzy,scratched,national_mall
2022-06-20 00:18:28.031199,ozzy,jumped,shelf
2019-06-05 14:07:11.305157,ozzy,pondered,bathtub
2020-10-28 02:55:38.415819,ozzy,pondered,shelf
2022-09-02 19:12:15.509185,ozzy,chomped,kitchen
2021-08-04 09:42:27.550029,otto,meowed,bell_hall
2022-12-12 06:53:48.298137,otto,jumped,kitchen
2023-03-27 05:24:36.823791,otto,purred,bathtub
2021-11-05 17:02:56.132388,otto,meowed,tastykabob
2020-07-23 03:40:53.191396,otto,nibbled,tastykabob
2022-03-16 18:47:35.678306,ozzy,jumped,windowsill
2023-02-24 05:00:53.119571,otto,pondered,seh
2020-06-14 21:55:28.599650,ozzy,pondered,bed
2023-04-16 14:17:11.241717,ozzy,purred,white_house
2022-04-22 04:38:23.236310,otto,snoozed,kitchen
2019-06-02 17:50:48.159648,ozzy,nibbled,shelf
2022-05-17 11:36:57.876141,otto,snoozed,couch
2021-08-03 23:09:03.915461,ozzy,hissed,seh
2021-12-11 07:04:17.469390,otto,hissed,national_mall
2022-06-01 07:24:02.884050,otto,jumped,bed
2022-07-08 20:04:44.237446,otto,committed_crimes,windowsill
2019-11-01 17:34:49.694406,ozzy,pondered,white_house
2021-01-26 13:30:55.643371,ozzy,purred,shelf
2019-11-05 18:00:16.357433,ozzy,hissed,kitchen
2020-06-17 23:26:17.551616,otto,snoozed,shelf
2020-02-12 20:49:11.827679,ozzy,committed_crimes,seh
2022-02-07 22:48:40.695027,ozzy,committed_crimes,windowsill
2022-10-30 20:21:52.216448,otto,scratched,seh
2021-01-29 00:43:45.324686,otto,scratched,shelf
2019-04-20 18:46:25.860966,otto,jumped,windowsill
2023-04-03 02:05:13.511435,otto,committed_crimes,windowsill
2022-07-01 00:27:44.539933,ozzy,jumped,bathtub
2021-08-15 18:17:28.155499,ozzy,committed_crimes,national_mall
2021-01-27 16:35:09.814728,ozzy,meowed,bell_hall
2019-07-01 15:04:35.987292,ozzy,pondered,national_mall
2023-01-07 05:17:55.397798,ozzy,committed_crimes,seh
2020-09-28 19:05:00.125649,otto,chomped,tastykabob
2022-07-11 09:05:18.928805,ozzy,committed_crimes,kitchen
2021-01-15 13:41:22.501890,ozzy,meowed,kitchen
2020-10-11 06:05:25.457377,ozzy,snoozed,windowsill
2022-01-26 22:59:28.693066,otto,committed_crimes,bed
2023-01-26 03:37:14.622523,otto,pondered,bed
2022-10-10 19:29:28.887191,ozzy,meowed,bathtub
2022-03-03 12:57:38.493700,ozzy,scratched,windowsill
2019-05-17 07:10:58.057156,otto,pondered,windowsill
2022-01-23 11:35:17.556388,ozzy,purred,bell_hall
2022-01-23 02:13:20.922190,ozzy,chomped,national_mall
2020-11-26 21:45:47.886081,otto,chomped,couch
2020-05-28 14:12:28.784068,ozzy,hissed,bed
2020-09-28 07:52:16.505618,ozzy,pondered,couch
2022-07-13 11:35:33.538500,otto,jumped,bell_hall
2020-06-20 08:18:34.768863,otto,jumped,bell_hall
2021-02-13 08:38:54.828244,ozzy,purred,bed
2019-11-11 04:40:06.795368,otto,committed_crimes,kitchen
2023-05-12 02:16:36.013204,ozzy,jumped,tastykabob
2022-10-01 14:22:51.448325,otto,hissed,windowsill
2020-07-21 12:06:45.555799,ozzy,snoozed,tastykabob
2020-02-29 04:06:07.649980,ozzy,pondered,shelf
2019-08-04 00:13:01.391730,ozzy,pondered,white_house
2023-02-22 21:40:35.170399,otto,committed_crimes,windowsill
2020-10-20 00:20:42.863939,otto,snoozed,bed
2020-10-08 21:15:06.639815,otto,hissed,bell_hall
2021-08-22 20:30:41.314701,otto,hissed,tastykabob
2022-07-15 00:45:28.048536,otto,nibbled,windowsill
2022-03-31 01:22:52.827750,ozzy,nibbled,kitchen
2022-10-16 04:54:20.012848,ozzy,pondered,white_house
2021-05-13 04:09:25.861928,ozzy,chomped,windowsill
2020-12-26 13:03:42.791936,ozzy,chomped,bell_hall
2023-04-11 15:50:39.239384,otto,jumped,national_mall
2022-11-29 06:55:36.734633,otto,committed_crimes,seh
2019-12-03 00:11:58.880084,ozzy,pondered,bathtub
2022-04-16 04:00:33.793970,otto,snoozed,white_house
2019-07-15 09:12:23.111777,ozzy,scratched,national_mall
2021-01-10 08:35:32.558590,ozzy,meowed,bed
2020-07-18 22:50:52.507484,ozzy,meowed,bathtub
2022-11-08 06:41:35.389180,otto,committed_crimes,national_mall
2019-07-10 08:25:52.131479,ozzy,committed_crimes,kitchen
2021-02-27 16:43:17.348980,ozzy,jumped,bed
2022-08-30 23:00:15.869622,otto,chomped,national_mall
2019-11-26 06:11:11.283007,otto,chomped,bell_hall
2022-05-11 02:20:52.969849,otto,purred,bell_hall
2019-06-27 17:25:46.390338,ozzy,purred,bathtub
2021-04-19 07:51:11.775358,otto,meowed,bell_hall
2023-01-02 05:53:41.243234,otto,pondered,national_mall
2022-01-01 17:23:01.303297,ozzy,committed_crimes,bathtub
2021-09-21 13:27:51.159399,otto,pondered,tastykabob
2021-04-15 03:35:23.598175,otto,hissed,shelf
2023-04-19 11:12:53.162578,otto,snoozed,couch
2023-05-16 11:54:26.904386,ozzy,pondered,bed
2021-05-08 12:05:08.682439,ozzy,scratched,white_house
2023-01-14 03:55:09.721916,ozzy,meowed,seh
2019-08-19 10:33:20.000283,otto,meowed,shelf
2021-07-17 09:34:46.984256,ozzy,meowed,kitchen
2019-11-07 15:52:27.754129,otto,meowed,kitchen
2022-08-02 08:45:35.305206,otto,jumped,couch
2023-05-20 22:39:24.764671,ozzy,committed_crimes,shelf
2020-11-22 18:05:43.116248,otto,scratched,bathtub
2020-02-01 02:01:32.617381,ozzy,purred,kitchen
2022-11-06 21:18:36.591196,otto,hissed,kitchen
2022-03-22 07:28:46.137429,otto,hissed,bell_hall
2022-01-17 04:34:39.932909,otto,snoozed,bathtub
2022-07-10 08:48:49.285300,otto,hissed,national_mall
2021-05-20 20:24:36.538055,ozzy,purred,bell_hall
2019-09-22 16:21:47.795567,otto,jumped,tastykabob
2019-08-23 04:00:27.095734,ozzy,snoozed,tastykabob
2022-11-21 06:23:36.554768,otto,meowed,shelf
2023-04-04 12:55:33.980576,otto,jumped,bell_hall
2022-05-07 03:28:10.354980,ozzy,snoozed,seh
2022-06-15 19:20:08.886226,otto,nibbled,bed
2021-09-13 16:29:24.767887,otto,purred,bed
2022-10-31 10:36:54.513654,otto,committed_crimes,shelf
2022-11-17 11:42:13.608927,ozzy,committed_crimes,bed
2021-07-10 05:11:41.593497,otto,pondered,couch
2021-11-28 02:40:55.404762,otto,chomped,kitchen
2019-12-09 16:08:46.618004,ozzy,hissed,shelf
2022-05-21 06:43:36.961060,ozzy,scratched,shelf
2021-03-31 22:29:46.139461,otto,scratched,shelf
2021-08-12 17:15:23.903291,ozzy,purred,bathtub
2022-08-05 05:24:32.709226,ozzy,nibbled,white_house
2021-05-03 10:13:13.454084,ozzy,purred,bell_hall
2020-05-31 17:43:59.659800,otto,hissed,national_mall
2023-02-02 14:32:56.118744,otto,hissed,bell_hall
2021-05-27 23:22:51.247813,otto,hissed,kitchen
2022-06-04 22:07:10.724479,ozzy,scratched,bell_hall
2022-10-23 20:45:36.875620,ozzy,chomped,shelf
2020-12-05 22:07:51.519265,ozzy,purred,tastykabob
2020-03-16 14:40:08.564453,otto,committed_crimes,windowsill
2022-09-07 17:05:26.349965,otto,meowed,bell_hall
2020-09-29 01:38:43.290967,otto,snoozed,white_house
2019-08-03 21:43:49.175295,otto,jumped,white_house
2019-10-23 09:32:39.954364,otto,committed_crimes,bell_hall
2019-10-27 08:50:19.363004,otto,jumped,bathtub
2019-04-27 09:57:14.599764,otto,hissed,national_mall
2020-11-19 01:49:25.827079,ozzy,jumped,shelf
2023-04-24 17:27:04.468004,otto,chomped,white_house
2021-12-10 03:18:50.507272,ozzy,pondered,bathtub
2021-11-12 06:10:21.746748,ozzy,snoozed,bell_hall
2020-07-23 13:42:31.235826,otto,purred,bed
2021-04-10 07:30:58.152711,ozzy,snoozed,seh
2020-12-15 08:00:23.933116,otto,chomped,kitchen
2022-09-22 23:55:14.076978,ozzy,scratched,windowsill
2020-06-20 14:05:47.814360,ozzy,purred,windowsill
2021-08-23 02:00:27.194387,otto,committed_crimes,tastykabob
2022-07-21 01:31:56.123487,ozzy,purred,couch
2020-05-23 10:54:17.256911,ozzy,meowed,bathtub
2022-02-25 16:31:41.768331,otto,jumped,bell_hall
2021-05-22 23:02:52.989853,ozzy,snoozed,white_house
2020-04-10 05:32:33.840528,otto,nibbled,shelf
2020-03-30 19:17:12.340664,otto,hissed,seh
2021-05-31 02:58:59.701002,ozzy,hissed,windowsill
2020-09-06 15:40:37.066990,ozzy,meowed,white_house
2023-02-17 16:29:20.373264,ozzy,meowed,windowsill
2021-12-28 18:26:41.889320,ozzy,hissed,windowsill
2021-03-24 11:15:11.015441,ozzy,pondered,tastykabob
2020-11-27 13:13:23.212740,ozzy,scratched,bed
2019-11-09 23:58:15.967884,otto,hissed,bathtub
2019-06-23 21:31:07.664503,ozzy,scratched,bathtub
2020-08-26 17:25:01.055673,ozzy,snoozed,white_house
2021-08-05 11:39:45.860648,ozzy,hissed,bell_hall
2021-06-05 06:00:18.708687,ozzy,chomped,windowsill
2022-11-08 19:39:48.432855,otto,committed_crimes,tastykabob
2021-05-14 09:36:50.266845,ozzy,pondered,bell_hall
2023-01-07 08:57:00.548631,ozzy,meowed,bed
2022-04-20 22:45:52.065352,ozzy,meowed,national_mall
2019-04-07 14:20:01.590951,otto,chomped,white_house
2020-07-13 04:56:45.694950,ozzy,hissed,national_mall
2023-01-15 03:24:46.789495,otto,pondered,white_house
2020-03-22 19:09:09.507011,otto,purred,kitchen
2019-06-28 04:08:00.447322,otto,chomped,national_mall
2019-08-04 05:55:15.484103,ozzy,scratched,national_mall
2022-01-17 19:45:06.017323,ozzy,chomped,shelf
2023-05-21 20:19:05.804581,ozzy,nibbled,national_mall
2021-01-17 22:49:38.867025,otto,pondered,bed
2019-06-17 10:26:55.922886,otto,jumped,bed
2021-08-02 10:02:14.735874,otto,pondered,national_mall
2020-09-07 17:05:41.549558,ozzy,jumped,white_house
2020-05-06 06:19:22.781929,otto,snoozed,shelf
2023-03-14 19:08:40.582589,otto,pondered,seh
2023-02-12 09:52:00.289868,ozzy,pondered,bathtub
2020-08-26 11:25:30.217502,ozzy,snoozed,bed
2021-08-29 08:56:12.188001,ozzy,pondered,windowsill
2020-09-23 02:15:23.611887,otto,meowed,tastykabob
2021-03-06 19:46:44.271466,otto,meowed,national_mall
2021-12-15 14:26:17.572210,otto,chomped,couch
2020-03-18 14:03:02.066905,otto,chomped,white_house
2022-11-23 19:19:34.631485,otto,snoozed,national_mall
2022-04-03 13:54:32.727189,otto,jumped,white_house
2019-03-14 11:37:19.390153,otto,snoozed,national_mall
2022-12-02 03:15:18.595818,otto,jumped,windowsill
2020-03-25 14:10:01.950326,otto,pondered,tastykabob
2019-04-22 13:34:26.561335,otto,hissed,tastykabob
2023-03-21 15:51:53.842093,otto,pondered,windowsill
2022-12-09 17:36:01.556738,ozzy,scratched,windowsill
2020-10-01 03:55:00.784524,ozzy,nibbled,seh
2022-06-09 06:42:19.446138,ozzy,jumped,seh
2019-12-09 11:48:26.184546,otto,meowed,tastykabob
2020-01-20 16:32:06.730290,ozzy,scratched,white_house
2022-06-07 22:57:03.086352,ozzy,snoozed,bed
2021-12-10 04:43:00.276956,ozzy,meowed,seh
2022-01-10 06:42:27.058950,ozzy,snoozed,couch
2022-06-17 22:13:39.373227,ozzy,meowed,windowsill
2023-03-16 05:38:17.844081,ozzy,jumped,tastykabob
2022-02-22 05:34:28.686853,ozzy,committed_crimes,bathtub
2022-03-29 22:34:07.567887,ozzy,chomped,tastykabob
2023-02-01 09:44:51.761985,ozzy,hissed,windowsill
2022-09-09 12:54:04.857263,ozzy,hissed,white_house
2020-07-25 21:55:12.742484,otto,chomped,bathtub
2021-06-10 03:34:45.640869,otto,meowed,shelf
2023-01-09 11:46:37.183522,otto,jumped,bathtub
2022-03-17 22:17:06.517795,otto,jumped,tastykabob
2021-04-18 00:27:11.888144,ozzy,nibbled,kitchen
2019-09-26 01:50:07.651320,ozzy,nibbled,bed
2022-04-28 06:13:11.306425,otto,chomped,kitchen
2022-09-10 22:56:08.614685,otto,snoozed,bathtub
2021-11-05 09:24:50.546747,ozzy,pondered,shelf
2021-03-25 01:14:25.141423,ozzy,purred,couch
2023-01-23 02:35:05.670505,otto,scratched,bathtub
2022-04-01 19:25:28.943553,otto,pondered,shelf
2022-01-25 16:32:59.910072,otto,scratched,couch
2021-03-22 17:38:14.757535,ozzy,snoozed,white_house
2022-03-10 23:44:23.663413,otto,hissed,bed
2022-11-05 11:36:56.904199,ozzy,chomped,national_mall
2023-04-20 18:17:52.282999,otto,pondered,bed
2020-03-09 10:11:02.765215,otto,snoozed,bed
2019-12-02 20:01:29.860595,otto,snoozed,couch
2019-05-16 00:26:44.353353,ozzy,committed_crimes,bell_hall
2021-01-31 18:47:41.197587,ozzy,hissed,national_mall
2022-09-03 07:46:17.691644,otto,nibbled,kitchen
2022-03-17 06:47:31.504250,otto,jumped,white_house
2021-02-09 19:21:43.619768,ozzy,pondered,white_house
2020-03-05 18:44:40.199029,otto,jumped,bell_hall
2023-01-28 18:21:49.419992,otto,committed_crimes,bathtub
2020-10-11 16:24:21.562903,otto,purred,bathtub
2023-05-11 02:03:44.646205,ozzy,chomped,couch
2020-11-06 19:18:24.123582,ozzy,snoozed,kitchen
2019-12-23 19:02:17.888984,otto,pondered,seh
2021-06-02 03:45:59.027669,otto,nibbled,shelf
2019-11-12 10:55:29.063597,otto,pondered,shelf
2020-06-15 12:35:44.764477,otto,chomped,couch
2020-08-10 19:46:04.077182,ozzy,snoozed,national_mall
2023-05-20 02:02:29.325298,otto,scratched,couch
2023-03-29 06:47:53.124484,ozzy,purred,white_house
2023-01-18 02:05:54.710047,ozzy,snoozed,seh
2020-02-22 22:19:21.140212,ozzy,pondered,tastykabob
2021-11-10 18:08:32.849605,otto,hissed,kitchen
2020-05-05 15:08:49.970046,otto,purred,national_mall
2022-12-04 13:22:57.073706,otto,hissed,tastykabob
2020-01-05 18:56:37.994535,otto,nibbled,bell_hall
2021-06-25 06:46:46.837502,ozzy,purred,bathtub
2020-01-06 13:19:35.358699,ozzy,nibbled,kitchen
2020-03-10 10:32:13.338909,ozzy,nibbled,bell_hall
2021-10-25 13:39:50.884664,otto,snoozed,kitchen
2019-03-21 08:42:48.680752,otto,committed_crimes,bathtub
2019-05-19 10:59:18.937456,ozzy,chomped,tastykabob
2020-12-05 15:50:16.967121,otto,committed_crimes,seh
2019-12-13 09:45:45.601929,otto,scratched,couch
2021-04-09 14:43:28.358397,ozzy,snoozed,bell_hall
2023-04-30 08:14:28.978597,ozzy,hissed,seh
2020-06-30 19:38:58.367528,ozzy,hissed,white_house
2020-11-30 13:37:56.068019,ozzy,purred,bed
2022-06-11 01:07:38.106827,ozzy,jumped,national_mall
2022-08-02 22:29:37.536052,ozzy,hissed,bathtub
2022-02-17 22:48:16.619003,ozzy,committed_crimes,bed
2021-05-10 00:55:18.808439,otto,pondered,windowsill
2020-11-19 03:05:42.181564,otto,hissed,shelf
2020-05-12 10:33:30.686180,ozzy,meowed,bathtub
2020-05-24 03:10:25.358545,ozzy,scratched,bed
2023-03-15 03:32:21.777957,ozzy,pondered,seh
2021-07-20 05:44:14.413742,ozzy,committed_crimes,windowsill
2021-06-09 01:17:47.198035,ozzy,scratched,windowsill
2019-11-06 15:00:46.946444,otto,hissed,windowsill
2020-05-10 02:27:25.258570,ozzy,committed_crimes,white_house
2020-12-03 06:50:49.460554,otto,pondered,white_house
2019-07-23 21:18:58.196497,ozzy,snoozed,kitchen
2020-02-23 15:11:38.120096,ozzy,purred,kitchen
2019-07-19 06:47:59.720457,ozzy,chomped,national_mall
2019-09-15 15:19:06.649747,ozzy,purred,shelf
2021-02-13 01:46:38.813196,ozzy,purred,windowsill
2020-07-13 07:16:31.521567,ozzy,meowed,bed
2019-11-25 20:28:36.195490,otto,hissed,bell_hall
2019-10-06 18:47:22.871037,otto,purred,tastykabob
2022-05-31 01:29:29.479884,ozzy,nibbled,seh
2019-05-26 23:48:19.878476,ozzy,snoozed,seh
2022-07-13 00:49:19.795056,otto,jumped,couch
2020-02-19 18:02:35.133026,otto,hissed,national_mall
2020-12-03 05:58:57.544063,ozzy,hissed,tastykabob
2021-04-30 20:10:47.016236,ozzy,hissed,bathtub
2020-03-02 01:42:55.987172,otto,scratched,kitchen
2022-08-11 04:04:36.947601,otto,meowed,bed
2019-11-02 22:50:29.126021,otto,pondered,shelf
2019-11-02 23:49:42.048616,otto,nibbled,white_house
2022-07-02 18:33:47.923922,otto,purred,windowsill
2020-05-03 04:42:10.049840,ozzy,chomped,couch
2021-09-03 10:37:20.864211,otto,purred,couch
2022-01-23 18:05:13.200002,ozzy,jumped,seh
2021-01-17 08:57:18.556858,otto,purred,windowsill
2020-04-16 09:08:22.683867,ozzy,hissed,windowsill
2019-06-19 09:53:41.777205,ozzy,jumped,white_house
